model,store,product,horizon,smape,mase
Naive,S002,P0003,14,45.9962,0.7734
Naive,S002,P0004,14,50.5432,0.9618
Naive,S002,P0005,14,52.8187,1.1417
Naive,S002,P0006,14,40.2311,1.1135
Naive,S002,P0007,14,51.2835,0.8957
Naive,S002,P0008,14,59.3092,1.2255
Naive,S002,P0009,14,61.8798,1.3818
Naive,S002,P0010,14,34.1081,0.8521
Naive,S002,P0011,14,59.1494,1.1586
Naive,S002,P0012,14,39.287,0.7602
Naive,S002,P0013,14,44.9955,0.8621
Naive,S002,P0014,14,73.5727,1.7205
Naive,S002,P0015,14,60.9992,1.0706
Naive,S002,P0016,14,45.723,1.0969
Naive,S002,P0017,14,75.2339,1.2162
Naive,S002,P0018,14,33.2249,0.8285
Naive,S002,P0019,14,39.2563,0.8195
Naive,S002,P0020,14,56.8748,1.3602
Naive,S003,P0001,14,66.2212,1.4796
Naive,S003,P0002,14,43.0626,0.8349
Naive,S003,P0003,14,33.2689,0.7583
Naive,S003,P0004,14,59.3484,1.0912
Naive,S003,P0005,14,82.6289,1.3792
Naive,S003,P0006,14,42.8407,0.8851
Naive,S003,P0007,14,39.8323,0.7527
Naive,S003,P0008,14,40.6424,0.8992
Naive,S003,P0009,14,43.953,1.0429
Naive,S003,P0010,14,39.1977,0.8967
Naive,S003,P0011,14,50.8784,0.9762
Naive,S003,P0012,14,53.4029,1.1822
Naive,S003,P0013,14,43.6682,0.722
Naive,S003,P0014,14,40.9615,0.9314
Naive,S003,P0015,14,42.673,0.757
Naive,S003,P0016,14,63.7929,1.6355
Naive,S003,P0017,14,64.026,1.3235
Naive,S003,P0018,14,47.3374,0.968
Naive,S003,P0019,14,42.6958,0.8904
Naive,S003,P0020,14,37.8611,0.8703
Naive,S004,P0001,14,38.7515,0.7062
Naive,S004,P0002,14,43.2232,0.6716
Naive,S004,P0003,14,48.0011,1.005
Naive,S004,P0004,14,43.4329,0.9835
Naive,S004,P0005,14,45.7046,1.1415
Naive,S004,P0006,14,40.4192,0.8107
Naive,S004,P0007,14,44.088,0.8856
Naive,S004,P0008,14,51.9633,1.2354
Naive,S004,P0009,14,46.8522,1.1258
Naive,S004,P0010,14,51.2413,0.9982
Naive,S004,P0011,14,40.9455,0.9119
Naive,S004,P0012,14,46.9027,1.3044
Naive,S004,P0013,14,52.8521,0.8815
Naive,S004,P0014,14,43.9284,0.845
Naive,S004,P0015,14,57.1163,1.0415
Naive,S004,P0016,14,53.1575,1.1157
Naive,S004,P0017,14,42.5405,0.9286
Naive,S004,P0018,14,54.6313,1.0538
Naive,S004,P0019,14,42.858,1.1908
Naive,S004,P0020,14,49.4521,0.9288
Naive,S005,P0001,14,47.0097,0.8049
Naive,S005,P0002,14,51.7516,1.2454
Naive,S005,P0003,14,41.2672,0.7519
Naive,S005,P0004,14,64.9917,1.4508
Naive,S005,P0005,14,70.8132,1.149
Naive,S005,P0006,14,46.1113,1.0298
Naive,S005,P0007,14,47.4545,0.8553
Naive,S005,P0008,14,42.7892,0.978
Naive,S005,P0009,14,45.9373,0.9551
Naive,S005,P0010,14,53.4716,1.1204
Naive,S005,P0011,14,55.0058,1.2442
Naive,S005,P0012,14,48.4146,0.996
Naive,S005,P0013,14,60.7086,1.1762
Naive,S005,P0014,14,43.7736,0.885
Naive,S005,P0015,14,38.3356,0.6694
Naive,S005,P0016,14,52.5342,0.9306
Naive,S005,P0017,14,54.1465,1.0205
