model,dataset,target,horizon,store,product,lookback,units1,dropout,lr,batch,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0011,30,16,0.3,0.001,32,sigmoid,41.44315,0.7281621,47.36213302612305,0.8676918148994446
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0012,30,16,0.3,0.001,32,sigmoid,32.535927,0.6401114,33.51266860961914,0.4516149163246155
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0013,30,16,0.3,0.001,32,sigmoid,41.48406,0.67653406,45.130882263183594,0.6774694323539734
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0014,30,16,0.3,0.001,32,sigmoid,44.194874,0.8469331,41.00447082519531,0.8002814054489136
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0015,30,16,0.3,0.001,32,sigmoid,36.119358,0.75272244,44.96767044067383,0.8033584952354431
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0016,30,16,0.3,0.001,32,sigmoid,36.03071,0.79235536,41.68385696411133,0.6312116980552673
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0017,30,16,0.3,0.001,32,sigmoid,48.80926,0.7899704,42.50913619995117,0.8391081094741821
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0018,30,16,0.3,0.001,32,sigmoid,29.509407,0.74568146,29.77564239501953,0.4074556529521942
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0019,30,16,0.3,0.001,32,sigmoid,32.639046,0.6762679,38.045326232910156,0.6397205591201782
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S002,P0020,30,16,0.3,0.001,32,sigmoid,39.9646,0.80961454,30.711233139038086,0.5039679408073425
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0001,30,16,0.3,0.001,32,sigmoid,49.78586,0.8602957,43.260536193847656,0.9330922365188599
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0002,30,16,0.3,0.001,32,sigmoid,39.7248,0.70866764,45.54121017456055,0.7198260426521301
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0003,30,16,0.3,0.001,32,sigmoid,32.401062,0.7546817,33.14601516723633,0.4643116593360901
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0004,30,16,0.3,0.001,32,sigmoid,39.516273,0.80236566,50.602718353271484,0.7093526721000671
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0005,30,16,0.3,0.001,32,sigmoid,49.669262,0.8147703,44.60689163208008,0.836354672908783
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0006,30,16,0.3,0.001,32,sigmoid,38.906467,0.7834202,34.03410720825195,0.5987103581428528
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0007,30,16,0.3,0.001,32,sigmoid,34.236008,0.68050253,43.452022552490234,0.49510061740875244
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0008,30,16,0.3,0.001,32,sigmoid,30.967941,0.7484161,40.45854187011719,0.37523677945137024
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0009,30,16,0.3,0.001,32,sigmoid,33.040756,0.79316694,37.040000915527344,0.431765079498291
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0010,30,16,0.3,0.001,32,sigmoid,31.86043,0.6974615,35.89357376098633,0.5380091071128845
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0011,30,16,0.3,0.001,32,sigmoid,39.120785,0.727891,39.61103820800781,0.9279899001121521
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0012,30,16,0.3,0.001,32,sigmoid,39.678707,0.7911847,31.54629898071289,0.6577433943748474
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0013,30,16,0.3,0.001,32,sigmoid,37.955013,0.6565767,43.09160232543945,0.8607577681541443
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0014,30,16,0.3,0.001,32,sigmoid,35.289806,0.7923994,45.83298873901367,0.4383658170700073
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0015,30,16,0.3,0.001,32,sigmoid,38.38781,0.68353546,44.29557418823242,0.7897335290908813
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0016,30,16,0.3,0.001,32,sigmoid,34.469597,0.6630955,40.489986419677734,0.462804913520813
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0017,30,16,0.3,0.001,32,sigmoid,41.273876,0.806029,30.29391098022461,0.6843680143356323
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0018,30,16,0.3,0.001,32,sigmoid,40.05361,0.83199114,31.003976821899414,0.5439720153808594
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0019,30,16,0.3,0.001,32,sigmoid,24.6152,0.5733908,28.72047233581543,0.3578626215457916
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S003,P0020,30,16,0.3,0.001,32,sigmoid,29.913128,0.7226698,45.123199462890625,0.38617193698883057
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0001,30,16,0.3,0.001,32,sigmoid,39.10137,0.75750595,46.29051971435547,0.7869539856910706
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0002,30,16,0.3,0.001,32,sigmoid,39.113598,0.64733756,41.705711364746094,0.7444433569908142
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0003,30,16,0.3,0.001,32,sigmoid,42.354065,0.9169043,38.782814025878906,0.5820630788803101
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0004,30,16,0.3,0.001,32,sigmoid,39.674988,0.76878595,49.84016418457031,0.747625470161438
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0005,30,16,0.3,0.001,32,sigmoid,31.787767,0.77941376,33.66248321533203,0.4161604642868042
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0006,30,16,0.3,0.001,32,sigmoid,36.14888,0.6486286,43.07563781738281,0.5384657979011536
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0007,30,16,0.3,0.001,32,sigmoid,41.95873,0.84009993,50.367713928222656,0.7296265363693237
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0008,30,16,0.3,0.001,32,sigmoid,37.402695,0.8277071,26.645427703857422,0.5117003917694092
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0009,30,16,0.3,0.001,32,sigmoid,37.287086,0.74357057,42.7828483581543,0.8037095069885254
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0010,30,16,0.3,0.001,32,sigmoid,40.636982,0.76193976,48.01306915283203,0.6139960885047913
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0011,30,16,0.3,0.001,32,sigmoid,36.500637,0.7791532,50.0894775390625,0.5062081217765808
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0012,30,16,0.3,0.001,32,sigmoid,32.621723,0.87565804,34.514469146728516,0.4066624641418457
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0013,30,16,0.3,0.001,32,sigmoid,40.867504,0.7414522,50.03147506713867,0.7046664953231812
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0014,30,16,0.3,0.001,32,sigmoid,41.092297,0.79594904,33.55461883544922,0.5686107873916626
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0015,30,16,0.3,0.001,32,sigmoid,40.5794,0.768584,32.16167068481445,0.5574802160263062
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0016,30,16,0.3,0.001,32,sigmoid,40.477196,0.7553111,30.85050392150879,0.6984229683876038
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0017,30,16,0.3,0.001,32,sigmoid,27.613503,0.6750331,32.177303314208984,0.3937728703022003
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0018,30,16,0.3,0.001,32,sigmoid,35.56536,0.74279004,24.789278030395508,0.5074366927146912
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0019,30,16,0.3,0.001,32,sigmoid,29.360872,0.74009705,35.21543884277344,0.4150751233100891
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S004,P0020,30,16,0.3,0.001,32,sigmoid,39.95065,0.7424964,30.359006881713867,0.7103238105773926
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0001,30,16,0.3,0.001,32,sigmoid,37.607567,0.6952733,44.526851654052734,0.7589113712310791
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0002,30,16,0.3,0.001,32,sigmoid,36.051853,0.7640221,38.240596771240234,0.45617055892944336
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0003,30,16,0.3,0.001,32,sigmoid,40.68991,0.75872195,35.49356460571289,0.6485821008682251
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0004,30,16,0.3,0.001,32,sigmoid,33.68084,0.787347,39.88547897338867,0.4620756208896637
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0005,30,16,0.3,0.001,32,sigmoid,34.993374,0.6828652,40.371429443359375,0.8118438720703125
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0006,30,16,0.3,0.001,32,sigmoid,35.14163,0.68159616,46.92110824584961,0.6730805039405823
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0007,30,16,0.3,0.001,32,sigmoid,37.027946,0.7293318,45.684627532958984,0.5208931565284729
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0008,30,16,0.3,0.001,32,sigmoid,30.211645,0.694676,34.271148681640625,0.4048173129558563
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0009,30,16,0.3,0.001,32,sigmoid,38.94375,0.77608204,45.65530776977539,0.8161193132400513
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,7,S005,P0010,30,16,0.3,0.001,32,sigmoid,38.398163,0.7305159,46.98518371582031,0.5185609459877014
