model,store,product,horizon,smape,mase,rmse,rmsle
SARIMAX,S004,P0019,7,48.2411,1.45,58.7652,0.6313
SARIMAX,S004,P0020,7,44.2412,1.2775,32.9667,0.7348
SARIMAX,S005,P0001,7,45.4128,1.0231,50.9686,0.7655
SARIMAX,S005,P0002,7,44.116,1.4566,51.3686,0.5647
SARIMAX,S005,P0003,7,39.6939,0.8151,34.553,0.5995
SARIMAX,S005,P0004,7,49.9877,0.9597,58.4009,0.6844
SARIMAX,S005,P0005,7,56.6771,1.1927,60.8298,1.5965
SARIMAX,S005,P0006,7,56.5367,1.3781,72.5304,0.8674
SARIMAX,S005,P0007,7,50.308,1.2534,72.7362,0.7328
SARIMAX,S005,P0008,7,37.937,1.0495,49.7764,0.5217
SARIMAX,S005,P0009,7,44.0512,1.2049,54.457,0.8554
SARIMAX,S005,P0010,7,54.749,0.9492,67.6897,0.75
SARIMAX,S005,P0011,7,52.1713,0.907,58.306,0.884
SARIMAX,S005,P0012,7,58.2264,1.1097,51.2549,0.8043
SARIMAX,S005,P0013,7,55.8972,1.1429,64.6301,0.8613
SARIMAX,S005,P0014,7,39.9947,0.935,32.1287,0.6597
SARIMAX,S005,P0015,7,53.6067,1.1767,58.7154,1.4011
SARIMAX,S005,P0016,7,51.5232,0.8792,49.7264,0.9299
SARIMAX,S005,P0017,7,50.7666,0.8372,42.2398,0.6591
SARIMAX,S005,P0018,7,33.63,0.7417,40.3083,0.4376
SARIMAX,S005,P0019,7,49.1655,1.0729,36.6087,0.6142
SARIMAX,S005,P0020,7,49.542,0.9372,38.4493,0.6738
SARIMAX,S001,P0001,14,50.5488,1.0103,54.8999,0.661
SARIMAX,S001,P0002,14,35.8541,0.7437,39.0064,0.4634
SARIMAX,S001,P0003,14,74.3341,1.0272,77.8492,0.9749
SARIMAX,S001,P0004,14,54.0951,1.0204,46.9707,0.8149
SARIMAX,S001,P0005,14,36.0189,0.9771,43.1226,0.4634
SARIMAX,S001,P0006,14,41.3285,0.8534,39.6411,0.8423
SARIMAX,S001,P0007,14,72.1319,0.9982,77.3038,1.0197
SARIMAX,S001,P0008,14,53.4017,1.1427,50.5884,0.6728
SARIMAX,S001,P0009,14,40.0395,1.2998,56.0771,0.5263
SARIMAX,S001,P0010,14,34.6304,0.5951,28.5365,0.461
SARIMAX,S001,P0011,14,50.5376,1.295,39.1777,0.6436
SARIMAX,S001,P0012,14,52.0566,0.8872,67.2687,0.6822
SARIMAX,S001,P0013,14,55.457,1.0346,45.5605,0.7155
SARIMAX,S001,P0014,14,37.2407,0.7769,44.4949,0.5622
SARIMAX,S001,P0015,14,47.3664,0.8474,40.6761,0.7138
SARIMAX,S001,P0016,14,42.1651,1.1341,49.0875,0.7242
SARIMAX,S001,P0017,14,47.3311,0.8102,38.895,0.7265
SARIMAX,S001,P0018,14,36.9729,0.9642,41.4108,0.467
SARIMAX,S001,P0019,14,54.4161,0.9696,36.2596,0.6757
SARIMAX,S001,P0020,14,44.4361,0.6458,32.848,0.5967
SARIMAX,S002,P0001,14,58.2318,0.8968,62.4384,0.7995
SARIMAX,S002,P0002,14,63.6659,1.2279,54.8311,0.8577
SARIMAX,S002,P0003,14,45.9962,0.8042,47.0439,0.6402
SARIMAX,S002,P0004,14,50.5432,1.1831,58.0118,0.705
SARIMAX,S002,P0005,14,52.8187,1.0123,59.6746,0.6928
SARIMAX,S002,P0006,14,40.2311,0.9679,47.5248,0.5549
SARIMAX,S002,P0007,14,51.2835,0.8607,46.9205,0.7389
SARIMAX,S002,P0008,14,59.3092,1.0151,60.9572,0.7742
SARIMAX,S002,P0009,14,61.8798,1.4347,82.2899,0.8332
SARIMAX,S002,P0010,14,34.1081,1.0341,42.5593,0.435
SARIMAX,S002,P0011,14,59.1494,0.9348,76.946,0.9746
SARIMAX,S002,P0012,14,39.287,0.8304,37.1877,0.4882
SARIMAX,S002,P0013,14,44.9955,1.214,62.0311,0.7665
SARIMAX,S002,P0014,14,73.5727,1.5373,85.4127,1.1336
SARIMAX,S002,P0015,14,60.9992,0.9854,60.9255,1.0667
SARIMAX,S002,P0016,14,45.723,0.9432,57.7308,0.7694
SARIMAX,S002,P0017,14,75.2339,1.148,63.295,1.1123
SARIMAX,S002,P0018,14,33.2249,0.8121,33.8303,0.4339
SARIMAX,S002,P0019,14,39.2563,0.6775,46.5109,0.7427
SARIMAX,S002,P0020,14,56.8748,0.9721,54.3747,0.7794
SARIMAX,S003,P0001,14,66.2212,1.0374,86.2063,1.2094
