model,store,product,horizon,smape,mase
SNaive,S001,P0018,14,44.2986,0.9957
SNaive,S001,P0019,14,56.1681,1.1872
SNaive,S001,P0020,14,58.3739,1.0192
SNaive,S002,P0001,14,53.8517,0.9811
SNaive,S002,P0002,14,64.8074,1.1399
SNaive,S002,P0003,14,47.2996,0.8488
SNaive,S002,P0004,14,50.5704,1.0061
SNaive,S002,P0005,14,53.1978,1.0936
SNaive,S002,P0006,14,45.8081,1.2346
SNaive,S002,P0007,14,65.3878,1.165
SNaive,S002,P0008,14,44.8307,1.0131
SNaive,S002,P0009,14,46.4158,0.9606
SNaive,S002,P0010,14,38.9457,0.982
SNaive,S002,P0011,14,66.348,1.0485
SNaive,S002,P0012,14,46.3545,0.9432
SNaive,S002,P0013,14,48.1834,0.8229
SNaive,S002,P0014,14,66.1193,1.2944
SNaive,S002,P0015,14,61.37,1.1758
SNaive,S002,P0016,14,49.1604,1.0087
SNaive,S002,P0017,14,72.2387,1.1642
SNaive,S002,P0018,14,37.7818,0.9769
SNaive,S002,P0019,14,44.3636,0.9036
SNaive,S002,P0020,14,57.8926,1.2086
SNaive,S003,P0001,14,78.7697,1.3559
SNaive,S003,P0002,14,57.2347,0.9505
SNaive,S003,P0003,14,36.1602,0.8724
SNaive,S003,P0004,14,62.4826,1.2491
SNaive,S003,P0005,14,70.6377,1.1346
SNaive,S003,P0006,14,57.3849,1.1067
SNaive,S003,P0007,14,44.0785,0.8872
SNaive,S003,P0008,14,38.63,0.9503
SNaive,S003,P0009,14,48.7035,1.1478
SNaive,S003,P0010,14,44.0427,0.9524
SNaive,S003,P0011,14,60.2633,1.0546
SNaive,S003,P0012,14,50.5802,1.0756
SNaive,S003,P0013,14,50.9396,0.8482
SNaive,S003,P0014,14,49.6729,1.113
SNaive,S003,P0015,14,55.8425,0.8829
SNaive,S003,P0016,14,50.4499,0.998
SNaive,S003,P0017,14,64.0663,1.24
SNaive,S003,P0018,14,45.7754,0.9564
SNaive,S003,P0019,14,38.4418,0.8886
SNaive,S003,P0020,14,42.9081,0.9981
SNaive,S004,P0001,14,50.5264,0.9597
SNaive,S004,P0002,14,60.0604,0.8884
SNaive,S004,P0003,14,64.5233,1.3732
SNaive,S004,P0004,14,55.1914,1.0984
SNaive,S004,P0005,14,38.4348,0.9917
SNaive,S004,P0006,14,40.7264,0.7698
SNaive,S004,P0007,14,57.22,1.1904
SNaive,S004,P0008,14,56.2542,1.1891
SNaive,S004,P0009,14,50.6157,1.0785
SNaive,S004,P0010,14,58.1368,1.0586
SNaive,S004,P0011,14,45.7535,1.1019
SNaive,S004,P0012,14,41.6973,1.1493
SNaive,S004,P0013,14,60.2998,1.0894
SNaive,S004,P0014,14,53.4264,1.0129
SNaive,S004,P0015,14,50.6111,0.9111
SNaive,S004,P0016,14,67.8667,1.2689
SNaive,S004,P0017,14,45.1732,1.084
SNaive,S004,P0018,14,46.9495,0.9401
SNaive,S004,P0019,14,36.1687,0.9324
SNaive,S004,P0020,14,69.9516,1.2699
SNaive,S005,P0001,14,54.9261,0.9367
SNaive,S005,P0002,14,55.6935,1.2041
SNaive,S005,P0003,14,49.4009,0.9234
SNaive,S005,P0004,14,46.8524,1.0957
SNaive,S005,P0005,14,57.2694,1.0833
SNaive,S005,P0006,14,43.7858,0.9949
SNaive,S005,P0007,14,47.7974,0.9367
SNaive,S005,P0008,14,41.1196,0.8929
SNaive,S005,P0009,14,52.3051,1.0613
SNaive,S005,P0010,14,49.2288,0.998
SNaive,S005,P0011,14,60.5571,1.2611
SNaive,S005,P0012,14,53.159,1.181
SNaive,S005,P0013,14,55.1654,0.9923
SNaive,S005,P0014,14,57.0421,1.152
SNaive,S005,P0015,14,48.9772,0.8875
SNaive,S005,P0016,14,78.5329,1.297
SNaive,S005,P0017,14,70.4109,1.3204
SNaive,S005,P0018,14,36.3278,0.8377
SNaive,S005,P0019,14,52.8364,0.9982
SNaive,S005,P0020,14,60.7747,1.1309
SNaive,S001,P0001,28,47.1893,1.1484
SNaive,S001,P0002,28,42.9777,1.0037
SNaive,S001,P0003,28,39.0894,0.764
SNaive,S001,P0004,28,57.5971,1.0799
SNaive,S001,P0005,28,46.8793,0.9659
SNaive,S001,P0006,28,61.3504,0.9415
SNaive,S001,P0007,28,56.3387,1.0781
SNaive,S001,P0008,28,49.0737,1.1715
SNaive,S001,P0009,28,41.8306,1.1447
SNaive,S001,P0010,28,44.4179,1.0565
SNaive,S001,P0011,28,51.0337,1.0795
SNaive,S001,P0012,28,45.0448,0.8767
SNaive,S001,P0013,28,51.4378,1.0107
SNaive,S001,P0014,28,54.7315,0.975
SNaive,S001,P0015,28,51.8088,1.0292
SNaive,S001,P0016,28,43.7715,0.713
SNaive,S001,P0017,28,46.8939,0.9288
SNaive,S001,P0018,28,44.9592,1.0333
SNaive,S001,P0019,28,53.5788,1.1924
SNaive,S001,P0020,28,53.0052,0.9907
SNaive,S002,P0001,28,60.783,1.1066
SNaive,S002,P0002,28,57.0444,1.0587
SNaive,S002,P0003,28,46.4832,0.8271
SNaive,S002,P0004,28,47.137,0.943
SNaive,S002,P0005,28,51.597,1.0776
SNaive,S002,P0006,28,44.0623,1.1244
SNaive,S002,P0007,28,67.0817,1.2719
SNaive,S002,P0008,28,45.7315,1.0667
SNaive,S002,P0009,28,45.7183,0.9691
SNaive,S002,P0010,28,38.2495,0.9112
SNaive,S002,P0011,28,67.9175,1.1019
SNaive,S002,P0012,28,47.4519,1.0234
SNaive,S002,P0013,28,45.5344,0.7547
SNaive,S002,P0014,28,65.4402,1.2667
SNaive,S002,P0015,28,62.0116,1.049
SNaive,S002,P0016,28,48.3843,1.0448
SNaive,S002,P0017,28,63.1556,1.1084
SNaive,S002,P0018,28,39.0544,0.9761
SNaive,S002,P0019,28,43.0015,0.8692
SNaive,S002,P0020,28,63.2045,1.3905
SNaive,S003,P0001,28,69.4469,1.3414
SNaive,S003,P0002,28,55.713,0.9874
SNaive,S003,P0003,28,38.3277,0.9338
SNaive,S003,P0004,28,54.9921,1.1917
