model,store,product,horizon,smape,mase
ETS,S002,P0002,14,46.5362,0.9785
ETS,S002,P0003,14,41.6189,0.7621
ETS,S002,P0004,14,44.937,1.0766
ETS,S002,P0005,14,41.7357,0.7701
ETS,S002,P0006,14,31.006,0.6798
ETS,S002,P0007,14,70.688,1.1183
ETS,S002,P0008,14,35.8983,0.6406
ETS,S002,P0009,14,34.9376,0.7255
ETS,S002,P0010,14,32.5061,1.0142
ETS,S002,P0011,14,44.7963,0.605
ETS,S002,P0012,14,34.2138,0.7458
ETS,S002,P0013,14,44.8127,1.0993
ETS,S002,P0014,14,80.902,1.3954
ETS,S002,P0015,14,36.6493,0.691
ETS,S002,P0016,14,35.6961,0.6655
ETS,S002,P0017,14,64.6666,0.977
ETS,S002,P0018,14,30.5725,0.763
ETS,S002,P0019,14,36.2242,0.6285
ETS,S002,P0020,14,53.9353,0.8508
ETS,S003,P0001,14,72.1557,0.7669
ETS,S003,P0002,14,47.4838,0.793
ETS,S003,P0003,14,39.8797,0.8553
ETS,S003,P0004,14,51.0817,0.9315
ETS,S003,P0005,14,76.9638,1.2851
ETS,S003,P0006,14,64.0882,1.0437
ETS,S003,P0007,14,43.6673,0.9649
ETS,S003,P0008,14,31.32,0.6232
ETS,S003,P0009,14,44.1501,1.2425
ETS,S003,P0010,14,30.194,0.5823
ETS,S003,P0011,14,57.541,0.9942
ETS,S003,P0012,14,41.3975,1.0146
ETS,S003,P0013,14,37.6965,0.8627
ETS,S003,P0014,14,47.5201,1.1341
ETS,S003,P0015,14,41.5135,0.6572
ETS,S003,P0016,14,55.7557,1.0092
ETS,S003,P0017,14,59.2732,1.0918
ETS,S003,P0018,14,54.7285,1.3137
ETS,S003,P0019,14,28.8303,0.8205
ETS,S003,P0020,14,39.7969,0.5814
ETS,S004,P0001,14,38.3917,0.6234
ETS,S004,P0002,14,43.9348,0.6169
ETS,S004,P0003,14,68.175,1.3819
ETS,S004,P0004,14,43.4699,1.0518
ETS,S004,P0005,14,31.6265,1.2669
ETS,S004,P0006,14,38.7301,1.2991
ETS,S004,P0007,14,43.9473,0.9424
ETS,S004,P0008,14,66.3648,1.1095
ETS,S004,P0009,14,38.8588,0.6649
ETS,S004,P0010,14,42.4589,0.6992
ETS,S004,P0011,14,35.1528,0.9679
ETS,S004,P0012,14,46.4986,1.0223
ETS,S004,P0013,14,54.012,1.0381
ETS,S004,P0014,14,47.5586,0.7708
ETS,S004,P0015,14,44.864,0.8146
ETS,S004,P0016,14,60.5125,0.9999
ETS,S004,P0017,14,31.7323,0.9756
ETS,S004,P0018,14,42.7695,0.8849
ETS,S004,P0019,14,28.6729,0.9507
ETS,S004,P0020,14,66.4384,1.3903
ETS,S005,P0001,14,42.2704,0.8452
ETS,S005,P0002,14,41.9119,0.7161
ETS,S005,P0003,14,69.5683,0.9821
ETS,S005,P0004,14,37.4237,0.6405
ETS,S005,P0005,14,39.8202,0.917
ETS,S005,P0006,14,39.8585,0.5639
ETS,S005,P0007,14,38.0778,0.9712
ETS,S005,P0008,14,38.0037,1.074
ETS,S005,P0009,14,48.5747,0.8671
ETS,S005,P0010,14,40.7223,0.6717
ETS,S005,P0011,14,57.7989,1.4182
ETS,S005,P0012,14,41.6363,0.8339
ETS,S005,P0013,14,49.657,0.7701
ETS,S005,P0014,14,58.6006,0.9385
ETS,S005,P0015,14,35.7264,0.8526
ETS,S005,P0016,14,58.8964,0.8241
ETS,S005,P0017,14,78.1647,1.0879
ETS,S005,P0018,14,29.8601,0.6035
ETS,S005,P0019,14,47.4479,0.9818
ETS,S005,P0020,14,46.5977,0.9812
ETS,S001,P0001,28,39.2781,0.5887
ETS,S001,P0002,28,30.542,0.6147
ETS,S001,P0003,28,33.9967,0.6019
ETS,S001,P0004,28,43.1927,0.8749
ETS,S001,P0005,28,35.4446,0.8315
ETS,S001,P0006,28,50.688,0.7419
ETS,S001,P0007,28,44.8679,0.6995
ETS,S001,P0008,28,36.3432,0.7702
ETS,S001,P0009,28,36.1717,0.8402
ETS,S001,P0010,28,38.4106,0.6654
ETS,S001,P0011,28,40.1581,0.8818
ETS,S001,P0012,28,40.1102,0.6958
ETS,S001,P0013,28,44.8056,1.1505
ETS,S001,P0014,28,37.3639,0.6742
ETS,S001,P0015,28,42.3126,0.9735
ETS,S001,P0016,28,37.3345,0.6288
ETS,S001,P0017,28,46.3248,0.8268
ETS,S001,P0018,28,33.6082,0.6074
ETS,S001,P0019,28,47.2052,0.8073
ETS,S001,P0020,28,44.7499,0.6116
ETS,S002,P0001,28,86.4166,1.13
ETS,S002,P0002,28,48.009,0.8558
ETS,S002,P0003,28,43.2592,0.7737
ETS,S002,P0004,28,36.8815,0.7436
ETS,S002,P0005,28,38.3678,0.6117
ETS,S002,P0006,28,30.4275,0.5294
ETS,S002,P0007,28,50.0695,0.904
ETS,S002,P0008,28,33.3595,0.607
ETS,S002,P0009,28,34.9604,0.6121
ETS,S002,P0010,28,29.0846,0.5433
ETS,S002,P0011,28,44.8507,0.5295
ETS,S002,P0012,28,38.0119,0.951
ETS,S002,P0013,28,38.4862,0.8464
ETS,S002,P0014,28,101.2345,1.4985
ETS,S002,P0015,28,37.2084,0.6947
ETS,S002,P0016,28,35.8378,0.5906
ETS,S002,P0017,28,55.0995,1.326
ETS,S002,P0018,28,30.7442,0.6542
ETS,S002,P0019,28,35.2592,0.6999
ETS,S002,P0020,28,59.5497,1.3192
ETS,S003,P0001,28,51.2813,0.6118
ETS,S003,P0002,28,37.6481,0.6812
