model,dataset,target,horizon,store,product,lookback,lstm_units,dropout,lr,batch_size,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0009,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.382202,0.7821174,48.003780364990234,0.6670110821723938
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0010,30,128,0.25624440198425424,0.000225332406953683,256,relu,27.84994,0.7066711,33.43985366821289,0.3438112139701843
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0011,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.502426,0.73411894,47.64394760131836,0.8710295557975769
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0012,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.532333,0.6627046,34.31852722167969,0.468094140291214
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0013,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.275593,0.65554816,44.859073638916016,0.6826238632202148
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0014,30,128,0.25624440198425424,0.000225332406953683,256,relu,44.610725,0.8509386,40.676673889160156,0.8037580847740173
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0015,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.220703,0.7562675,44.5766716003418,0.8048446774482727
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0016,30,128,0.25624440198425424,0.000225332406953683,256,relu,34.701996,0.7680944,41.247493743896484,0.6413003206253052
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0017,30,128,0.25624440198425424,0.000225332406953683,256,relu,48.866253,0.8050597,44.08401107788086,0.8525674939155579
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0018,30,128,0.25624440198425424,0.000225332406953683,256,relu,29.264942,0.74130553,29.524446487426758,0.4114539325237274
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0019,30,128,0.25624440198425424,0.000225332406953683,256,relu,32.70237,0.6796715,38.032020568847656,0.6465662717819214
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S002,P0020,30,128,0.25624440198425424,0.000225332406953683,256,relu,42.571877,0.87063986,32.961952209472656,0.539944589138031
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0001,30,128,0.25624440198425424,0.000225332406953683,256,relu,50.014202,0.87430954,44.0147819519043,0.9512837529182434
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0002,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.32765,0.72443783,46.18775177001953,0.7269017696380615
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0003,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.168396,0.7791468,34.346195220947266,0.48469582200050354
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0004,30,128,0.25624440198425424,0.000225332406953683,256,relu,39.32429,0.8041266,50.552268981933594,0.7250953912734985
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0005,30,128,0.25624440198425424,0.000225332406953683,256,relu,49.882935,0.830466,45.41507339477539,0.8593084216117859
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0006,30,128,0.25624440198425424,0.000225332406953683,256,relu,39.328247,0.7921659,33.70892333984375,0.6070244312286377
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0007,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.947174,0.6766645,43.76927947998047,0.4992263615131378
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0008,30,128,0.25624440198425424,0.000225332406953683,256,relu,31.50594,0.7618445,41.17881393432617,0.3822028934955597
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0009,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.78415,0.8116813,37.7359619140625,0.43986040353775024
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0010,30,128,0.25624440198425424,0.000225332406953683,256,relu,32.354443,0.7086835,36.397239685058594,0.540719211101532
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0011,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.939102,0.7743024,41.461830139160156,0.9461804628372192
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0012,30,128,0.25624440198425424,0.000225332406953683,256,relu,39.481075,0.7824501,30.912803649902344,0.6547835469245911
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0013,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.401756,0.6457876,42.37828063964844,0.8590717911720276
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0014,30,128,0.25624440198425424,0.000225332406953683,256,relu,35.32992,0.7950189,45.78036880493164,0.4401262402534485
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0015,30,128,0.25624440198425424,0.000225332406953683,256,relu,38.190044,0.68146574,44.20433044433594,0.7969250679016113
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0016,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.019577,0.6951481,41.28562927246094,0.48148465156555176
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0017,30,128,0.25624440198425424,0.000225332406953683,256,relu,42.708492,0.8402913,31.302478790283203,0.7040214538574219
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0018,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.716736,0.874965,32.3343391418457,0.5635625123977661
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0019,30,128,0.25624440198425424,0.000225332406953683,256,relu,25.689331,0.59896225,29.298080444335938,0.36604729294776917
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S003,P0020,30,128,0.25624440198425424,0.000225332406953683,256,relu,30.870611,0.74309033,46.26824951171875,0.39677730202674866
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0001,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.74632,0.7301609,45.83065414428711,0.7902889847755432
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0002,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.445713,0.6837617,43.911827087402344,0.7721928954124451
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0003,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.72519,0.90587157,38.78663635253906,0.5861591696739197
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0004,30,128,0.25624440198425424,0.000225332406953683,256,relu,38.92172,0.7556999,49.13164520263672,0.7521141767501831
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0005,30,128,0.25624440198425424,0.000225332406953683,256,relu,31.301516,0.76766163,33.415218353271484,0.41702231764793396
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0006,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.720646,0.66166884,43.89138412475586,0.5489944815635681
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0007,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.90874,0.8425116,50.28340148925781,0.7355919480323792
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0008,30,128,0.25624440198425424,0.000225332406953683,256,relu,39.071857,0.8685314,27.919883728027344,0.5391678214073181
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0009,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.12982,0.71859354,41.68563461303711,0.80107182264328
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0010,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.69547,0.76477605,47.66648864746094,0.6155219674110413
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S004,P0011,30,128,0.25624440198425424,0.000225332406953683,256,relu,35.382988,0.75569266,49.168861389160156,0.4992319941520691
