model,dataset,target,horizon,mean_smape,median_smape,mean_mase,median_mase
ARIMA_FAST,retail_inventory_daily,Units Sold,7,37.6015,37.4332,0.7463,0.7469
ARIMA_FAST,retail_inventory_daily,Units Sold,14,37.9026,37.8356,0.7477,0.747
ARIMA_FAST,retail_inventory_daily,Units Sold,28,37.7339,37.7997,0.7447,0.7411
