model,dataset,target,horizon,lookback,mean_smape,median_smape,mean_mase,median_mase,mean_rmse,median_rmse,mean_rmsle,median_rmsle
LSTM-Univariate,retail_inventory_daily,Units Sold,7,60,38.919,38.919,0.8773,0.8773,42.1564,42.1564,0.5214,0.5214
LSTM-Univariate,retail_inventory_daily,Units Sold,14,60,34.9494,34.9494,0.8099,0.8099,37.8072,37.8072,0.4635,0.4635
LSTM-Univariate,retail_inventory_daily,Units Sold,28,60,41.5041,41.5041,0.9196,0.9196,45.4749,45.4749,0.5398,0.5398
