model,dataset,target,horizon,lookback,mean_smape,median_smape,mean_mase,median_mase,mean_rmse,median_rmse,mean_rmsle,median_rmsle
MNaive,retail_inventory_daily,Units Sold,7,30,39.7123,39.2491,0.8459,0.8343,41.2552,42.0877,0.6122,0.6079
MNaive,retail_inventory_daily,Units Sold,14,30,40.7092,39.9405,0.8217,0.8208,42.0617,42.4452,0.6265,0.6141
MNaive,retail_inventory_daily,Units Sold,28,30,41.2997,40.9711,0.8077,0.7608,42.5781,42.9723,0.6346,0.6258
