model,store,product,horizon,smape,mase,rmse,rmsle
MNaive,S005,P0003,7,45.0094,0.9529,40.2842,0.693
MNaive,S005,P0004,7,34.4554,0.6544,41.2086,0.471
MNaive,S005,P0005,7,38.7205,0.8866,44.3539,0.8127
MNaive,S005,P0006,7,37.1204,0.8929,49.3871,0.6922
MNaive,S005,P0007,7,36.6085,0.8394,46.4368,0.5036
MNaive,S005,P0008,7,32.0541,0.8014,35.4724,0.4016
MNaive,S005,P0009,7,39.8469,1.0962,46.6946,0.8218
MNaive,S005,P0010,7,37.2289,0.6495,46.0959,0.5131
MNaive,S005,P0011,7,44.6029,0.7035,45.6363,0.7601
MNaive,S005,P0012,7,44.6652,0.8021,37.8419,0.6222
MNaive,S005,P0013,7,40.763,0.8287,48.2569,0.702
MNaive,S005,P0014,7,41.2176,0.9467,33.5871,0.6706
MNaive,S005,P0015,7,35.3217,0.8742,42.1138,0.6709
MNaive,S005,P0016,7,52.9716,0.8425,45.9565,0.9033
MNaive,S005,P0017,7,51.6952,0.8641,44.1556,0.7709
MNaive,S005,P0018,7,29.9899,0.6818,35.4558,0.375
MNaive,S005,P0019,7,45.9002,1.0216,35.1605,0.6091
MNaive,S005,P0020,7,40.2815,0.7414,32.2746,0.5922
MNaive,S001,P0001,14,41.0779,0.7782,43.3162,0.526
MNaive,S001,P0002,14,30.4236,0.6429,34.893,0.4237
MNaive,S001,P0003,14,33.2514,0.5788,45.8561,0.5497
MNaive,S001,P0004,14,46.6583,0.9139,42.1501,0.7746
MNaive,S001,P0005,14,37.7862,1.0103,43.1584,0.4469
MNaive,S001,P0006,14,53.684,1.1178,47.614,0.9274
MNaive,S001,P0007,14,43.5863,0.7072,54.049,0.6358
MNaive,S001,P0008,14,36.7321,0.6916,33.6979,0.4764
MNaive,S001,P0009,14,34.459,1.0492,47.7549,0.4522
MNaive,S001,P0010,14,39.8979,0.6986,33.5999,0.5333
MNaive,S001,P0011,14,41.1347,1.1124,34.8599,0.549
MNaive,S001,P0012,14,38.1878,0.5947,45.3132,0.5651
MNaive,S001,P0013,14,48.138,0.8404,38.6556,0.6742
MNaive,S001,P0014,14,36.9493,0.7688,43.7345,0.5649
MNaive,S001,P0015,14,45.97,0.8422,39.2571,0.6636
MNaive,S001,P0016,14,38.1086,0.989,44.1017,0.6788
MNaive,S001,P0017,14,47.7381,0.7684,37.6393,0.7476
MNaive,S001,P0018,14,33.6475,0.8717,37.7635,0.4313
MNaive,S001,P0019,14,45.3147,0.8532,33.3035,0.6296
MNaive,S001,P0020,14,45.6374,0.6877,33.3301,0.6272
MNaive,S002,P0001,14,43.0429,0.728,52.368,0.5779
MNaive,S002,P0002,14,48.1246,1.0061,45.4218,0.6774
MNaive,S002,P0003,14,39.6512,0.7223,42.4247,0.6165
MNaive,S002,P0004,14,36.8078,0.9093,44.3199,0.4593
MNaive,S002,P0005,14,39.983,0.7121,41.0897,0.5264
MNaive,S002,P0006,14,31.006,0.6798,34.6458,0.4374
MNaive,S002,P0007,14,54.2744,0.9251,49.2919,0.7878
MNaive,S002,P0008,14,32.3586,0.5818,36.6941,0.4344
MNaive,S002,P0009,14,34.8485,0.7233,42.3177,0.4542
MNaive,S002,P0010,14,29.1541,0.8766,35.893,0.355
MNaive,S002,P0011,14,44.7963,0.605,48.1991,0.8664
MNaive,S002,P0012,14,39.301,0.8748,40.0171,0.5252
MNaive,S002,P0013,14,40.9503,0.9538,44.6161,0.6651
MNaive,S002,P0014,14,47.6543,0.8144,46.133,0.8392
MNaive,S002,P0015,14,36.6494,0.691,44.4111,0.8231
MNaive,S002,P0016,14,35.6961,0.6655,42.0502,0.6576
MNaive,S002,P0017,14,57.5528,0.8667,48.4603,0.8899
MNaive,S002,P0018,14,30.9923,0.7744,31.4384,0.4285
MNaive,S002,P0019,14,34.5896,0.5818,39.8045,0.6766
MNaive,S002,P0020,14,44.4235,0.6141,33.0566,0.5429
MNaive,S003,P0001,14,54.6852,0.6545,47.7415,0.9978
MNaive,S003,P0002,14,39.4293,0.734,45.8775,0.7038
MNaive,S003,P0003,14,36.8032,0.8405,38.0022,0.5247
MNaive,S003,P0004,14,42.0449,0.8248,54.0469,0.7659
MNaive,S003,P0005,14,53.0291,1.0598,50.7668,0.9112
MNaive,S003,P0006,14,49.0918,1.0341,43.1844,0.7237
MNaive,S003,P0007,14,38.2252,0.776,50.6046,0.5461
MNaive,S003,P0008,14,30.6306,0.6094,38.5132,0.371
MNaive,S003,P0009,14,38.5232,1.123,42.7194,0.5014
MNaive,S003,P0010,14,30.7743,0.5917,34.5645,0.4966
MNaive,S003,P0011,14,46.2453,0.8694,45.6282,0.9948
MNaive,S003,P0012,14,43.8968,1.0684,35.287,0.6972
MNaive,S003,P0013,14,37.6965,0.8627,42.0955,0.8555
MNaive,S003,P0014,14,37.1585,0.8943,49.2474,0.4777
MNaive,S003,P0015,14,41.5212,0.6732,48.8971,0.8368
MNaive,S003,P0016,14,39.5581,0.7802,46.9729,0.5427
MNaive,S003,P0017,14,48.1841,0.8783,36.1126,0.7799
MNaive,S003,P0018,14,42.4197,1.1221,33.5487,0.5628
MNaive,S003,P0019,14,28.9469,0.8219,32.3151,0.3881
MNaive,S003,P0020,14,32.9004,0.5115,47.0294,0.4157
MNaive,S004,P0001,14,38.6119,0.629,47.1244,0.8128
MNaive,S004,P0002,14,44.0,0.629,45.9257,0.7915
MNaive,S004,P0003,14,45.5233,1.1471,43.1295,0.6597
MNaive,S004,P0004,14,43.4699,1.0518,53.6453,0.7734
MNaive,S004,P0005,14,31.5027,1.2631,34.2646,0.4147
MNaive,S004,P0006,14,36.5628,1.1284,42.4657,0.4983
MNaive,S004,P0007,14,43.2448,0.9076,55.3676,0.6118
MNaive,S004,P0008,14,43.5933,0.8215,29.9481,0.5629
MNaive,S004,P0009,14,35.7508,0.5821,41.5676,0.8278
MNaive,S004,P0010,14,42.4589,0.6992,49.8659,0.6286
MNaive,S004,P0011,14,35.1528,0.9679,50.1203,0.5008
MNaive,S004,P0012,14,38.3439,0.8462,40.0098,0.49
MNaive,S004,P0013,14,44.1286,0.8201,51.1032,0.6994
MNaive,S004,P0014,14,44.5099,0.6861,36.3149,0.5946
MNaive,S004,P0015,14,45.7739,0.8236,33.7201,0.584
MNaive,S004,P0016,14,47.6563,0.7822,35.5604,0.7698
MNaive,S004,P0017,14,30.0354,0.8999,34.3357,0.4124
MNaive,S004,P0018,14,38.4648,0.8243,26.9859,0.5405
MNaive,S004,P0019,14,28.6729,0.9507,35.6974,0.4332
MNaive,S004,P0020,14,45.4568,0.9854,33.9477,0.7303
MNaive,S005,P0001,14,39.2204,0.7982,43.8552,0.7646
MNaive,S005,P0002,14,43.3194,0.7341,45.537,0.5552
MNaive,S005,P0003,14,47.2827,0.8035,41.7436,0.7302
MNaive,S005,P0004,14,34.7799,0.6007,42.1333,0.4871
MNaive,S005,P0005,14,39.8202,0.917,45.4422,0.8398
MNaive,S005,P0006,14,39.6512,0.5503,52.4308,0.7256
MNaive,S005,P0007,14,37.1431,0.9501,47.9342,0.5053
MNaive,S005,P0008,14,33.0079,0.9139,36.0974,0.4131
MNaive,S005,P0009,14,41.1488,0.7797,48.8552,0.8533
MNaive,S005,P0010,14,36.9835,0.5739,47.1572,0.5039
MNaive,S005,P0011,14,46.2334,1.2245,47.9291,0.7935
MNaive,S005,P0012,14,47.6978,0.9516,40.4275,0.609
MNaive,S005,P0013,14,41.1098,0.6676,49.1706,0.5439
MNaive,S005,P0014,14,41.9512,0.785,34.1871,0.6918
MNaive,S005,P0015,14,35.7264,0.8526,41.6073,0.6847
MNaive,S005,P0016,14,58.4959,0.811,50.0853,0.9599
MNaive,S005,P0017,14,53.8781,0.888,46.596,0.8267
MNaive,S005,P0018,14,29.8601,0.6035,34.7607,0.3717
MNaive,S005,P0019,14,46.525,0.964,35.6418,0.6258
MNaive,S005,P0020,14,42.1656,0.8035,33.6218,0.622
MNaive,S001,P0001,28,42.3479,0.629,42.9051,0.5279
MNaive,S001,P0002,28,30.542,0.6147,35.9706,0.4365
MNaive,S001,P0003,28,33.9967,0.6019,47.0456,0.5555
MNaive,S001,P0004,28,43.1927,0.8749,40.0222,0.7599
MNaive,S001,P0005,28,38.0162,0.8884,44.2344,0.4558
MNaive,S001,P0006,28,58.7857,0.8269,51.0061,0.9489
MNaive,S001,P0007,28,44.5257,0.694,54.9406,0.6573
MNaive,S001,P0008,28,36.3432,0.7702,33.2526,0.4719
MNaive,S001,P0009,28,36.1717,0.8402,49.3923,0.4608
MNaive,S001,P0010,28,42.9854,0.7378,35.6933,0.5606
MNaive,S001,P0011,28,39.7808,0.9135,33.2508,0.5338
MNaive,S001,P0012,28,39.8439,0.6915,46.7252,0.58
MNaive,S001,P0013,28,48.2563,1.2303,38.7235,0.6805
MNaive,S001,P0014,28,37.3639,0.6742,43.7815,0.5661
MNaive,S001,P0015,28,45.5876,1.0367,39.2039,0.6704
MNaive,S001,P0016,28,36.6833,0.6182,43.0396,0.6867
MNaive,S001,P0017,28,50.3273,0.8686,37.8811,0.7566
MNaive,S001,P0018,28,33.6082,0.6074,37.3666,0.431
MNaive,S001,P0019,28,45.6208,0.7848,33.6728,0.6334
MNaive,S001,P0020,28,45.253,0.6144,34.4762,0.647
MNaive,S002,P0001,28,41.3892,0.7144,49.7675,0.5554
MNaive,S002,P0002,28,52.1229,0.9224,47.8504,0.7025
MNaive,S002,P0003,28,41.2831,0.7432,42.8979,0.6238
MNaive,S002,P0004,28,37.3904,0.7522,43.8999,0.4598
MNaive,S002,P0005,28,40.7996,0.6463,41.3866,0.5327
MNaive,S002,P0006,28,30.4275,0.5294,34.524,0.4335
MNaive,S002,P0007,28,60.2019,1.063,52.4302,0.8351
MNaive,S002,P0008,28,33.3595,0.607,37.9553,0.4489
MNaive,S002,P0009,28,34.9118,0.6102,42.6889,0.455
MNaive,S002,P0010,28,28.8878,0.5415,36.4058,0.3573
MNaive,S002,P0011,28,44.8507,0.5295,48.1755,0.8613
MNaive,S002,P0012,28,41.0248,1.0419,41.7699,0.5481
MNaive,S002,P0013,28,37.9732,0.8332,43.752,0.6694
MNaive,S002,P0014,28,45.8963,0.7681,44.4156,0.8406
MNaive,S002,P0015,28,37.2088,0.6947,45.9098,0.8428
MNaive,S002,P0016,28,35.8378,0.5906,42.3438,0.6588
MNaive,S002,P0017,28,59.0066,1.4029,49.4105,0.9212
MNaive,S002,P0018,28,31.203,0.6651,31.7035,0.4285
MNaive,S002,P0019,28,35.2592,0.6999,40.4794,0.6829
MNaive,S002,P0020,28,44.5931,0.7941,32.8332,0.5337
MNaive,S003,P0001,28,56.656,0.6611,48.3768,1.0106
MNaive,S003,P0002,28,39.8422,0.7296,46.6654,0.7068
MNaive,S003,P0003,28,38.3014,1.2532,40.4039,0.5584
MNaive,S003,P0004,28,43.8673,0.707,55.6036,0.7862
MNaive,S003,P0005,28,51.1215,1.0496,48.6342,0.8968
MNaive,S003,P0006,28,50.1969,1.1433,45.1229,0.7516
MNaive,S003,P0007,28,40.5837,0.916,52.4662,0.5687
MNaive,S003,P0008,28,30.2939,0.8214,38.3652,0.3647
MNaive,S003,P0009,28,38.7552,0.8289,44.1749,0.5178
MNaive,S003,P0010,28,31.1619,0.6027,35.3385,0.5046
MNaive,S003,P0011,28,48.4675,0.7169,47.8569,1.0205
MNaive,S003,P0012,28,43.8688,1.0254,35.7555,0.6973
MNaive,S003,P0013,28,37.7001,1.021,41.712,0.8638
MNaive,S003,P0014,28,37.5915,0.9446,49.9554,0.4881
MNaive,S003,P0015,28,41.299,0.5918,48.8481,0.8366
MNaive,S003,P0016,28,39.7734,0.7854,47.4855,0.5495
MNaive,S003,P0017,28,47.3898,0.8856,35.9033,0.7919
MNaive,S003,P0018,28,42.5513,1.1953,33.4212,0.5613
MNaive,S003,P0019,28,28.0414,0.7087,31.3833,0.3805
MNaive,S003,P0020,28,32.2495,0.6538,47.0956,0.4101
MNaive,S004,P0001,28,38.7669,0.5965,47.6519,0.8233
MNaive,S004,P0002,28,44.859,0.6633,47.4357,0.8144
MNaive,S004,P0003,28,48.0842,0.8798,45.7046,0.6918
MNaive,S004,P0004,28,40.1627,0.5919,50.6995,0.7465
MNaive,S004,P0005,28,31.7674,1.0432,34.1679,0.411
MNaive,S004,P0006,28,41.3582,1.2541,46.3599,0.5392
MNaive,S004,P0007,28,43.989,0.6996,57.6588,0.6331
MNaive,S004,P0008,28,41.7884,0.73,28.9366,0.5503
MNaive,S004,P0009,28,36.0437,0.6436,42.0064,0.8283
MNaive,S004,P0010,28,42.3533,0.6866,50.4363,0.634
MNaive,S004,P0011,28,35.658,0.6274,50.7411,0.5037
MNaive,S004,P0012,28,40.5847,1.0503,41.5606,0.517
MNaive,S004,P0013,28,44.3658,0.7453,50.9242,0.6889
MNaive,S004,P0014,28,42.91,0.768,35.0165,0.5835
MNaive,S004,P0015,28,47.1028,0.9447,34.0974,0.5998
MNaive,S004,P0016,28,49.3208,0.5883,35.4418,0.7654
MNaive,S004,P0017,28,28.7334,0.6457,33.66,0.3993
MNaive,S004,P0018,28,40.189,0.9888,28.1905,0.5617
MNaive,S004,P0019,28,28.3444,0.8353,35.0915,0.4257
MNaive,S004,P0020,28,45.0063,0.674,33.4827,0.7235
MNaive,S005,P0001,28,40.1202,0.6792,45.1064,0.7734
MNaive,S005,P0002,28,46.5476,0.6699,48.4555,0.5906
