model,dataset,target,horizon,mean_smape,median_smape,mean_mase,median_mase
SNaive,retail_inventory_daily,Units Sold,7,50.3675,49.9691,1.0045,1.0129
SNaive,retail_inventory_daily,Units Sold,14,52.7625,50.9495,1.0514,1.0516
SNaive,retail_inventory_daily,Units Sold,28,50.8396,48.9961,1.0414,1.0372
