model,store,product,horizon,mase
Chronos-Bolt-Small,S001,P0019,14,0.8994
Chronos-Bolt-Small,S001,P0020,14,0.5701
Chronos-Bolt-Small,S002,P0001,14,0.7455
Chronos-Bolt-Small,S002,P0002,14,0.6528
Chronos-Bolt-Small,S002,P0003,14,0.6864
Chronos-Bolt-Small,S002,P0004,14,0.699
Chronos-Bolt-Small,S002,P0005,14,0.9172
Chronos-Bolt-Small,S002,P0006,14,0.9251
Chronos-Bolt-Small,S002,P0007,14,1.1568
Chronos-Bolt-Small,S002,P0008,14,0.6783
Chronos-Bolt-Small,S002,P0009,14,0.5952
Chronos-Bolt-Small,S002,P0010,14,0.8299
Chronos-Bolt-Small,S002,P0011,14,0.6424
Chronos-Bolt-Small,S002,P0012,14,0.6557
Chronos-Bolt-Small,S002,P0013,14,0.6905
Chronos-Bolt-Small,S002,P0014,14,1.0433
Chronos-Bolt-Small,S002,P0015,14,0.5596
Chronos-Bolt-Small,S002,P0016,14,0.5428
Chronos-Bolt-Small,S002,P0017,14,0.9476
Chronos-Bolt-Small,S002,P0018,14,0.658
Chronos-Bolt-Small,S002,P0019,14,0.6316
Chronos-Bolt-Small,S002,P0020,14,0.8405
Chronos-Bolt-Small,S003,P0001,14,0.6626
Chronos-Bolt-Small,S003,P0002,14,0.6493
Chronos-Bolt-Small,S003,P0003,14,0.7035
Chronos-Bolt-Small,S003,P0004,14,0.6837
Chronos-Bolt-Small,S003,P0005,14,0.8893
Chronos-Bolt-Small,S003,P0006,14,0.6935
Chronos-Bolt-Small,S003,P0007,14,1.181
Chronos-Bolt-Small,S003,P0008,14,0.7341
Chronos-Bolt-Small,S003,P0009,14,0.511
Chronos-Bolt-Small,S003,P0010,14,0.8835
Chronos-Bolt-Small,S003,P0011,14,0.9623
Chronos-Bolt-Small,S003,P0012,14,0.7434
Chronos-Bolt-Small,S003,P0013,14,0.6273
Chronos-Bolt-Small,S003,P0014,14,1.0748
Chronos-Bolt-Small,S003,P0015,14,0.5782
Chronos-Bolt-Small,S003,P0016,14,0.4595
Chronos-Bolt-Small,S003,P0017,14,0.9031
Chronos-Bolt-Small,S003,P0018,14,1.1259
Chronos-Bolt-Small,S003,P0019,14,0.6417
Chronos-Bolt-Small,S003,P0020,14,0.3475
Chronos-Bolt-Small,S004,P0001,14,0.6061
Chronos-Bolt-Small,S004,P0002,14,0.5485
Chronos-Bolt-Small,S004,P0003,14,0.7996
Chronos-Bolt-Small,S004,P0004,14,0.5511
Chronos-Bolt-Small,S004,P0005,14,0.6933
Chronos-Bolt-Small,S004,P0006,14,0.6668
Chronos-Bolt-Small,S004,P0007,14,0.8047
Chronos-Bolt-Small,S004,P0008,14,0.826
Chronos-Bolt-Small,S004,P0009,14,0.4654
Chronos-Bolt-Small,S004,P0010,14,0.6645
Chronos-Bolt-Small,S004,P0011,14,0.6797
Chronos-Bolt-Small,S004,P0012,14,1.0208
Chronos-Bolt-Small,S004,P0013,14,0.8655
Chronos-Bolt-Small,S004,P0014,14,0.8381
Chronos-Bolt-Small,S004,P0015,14,0.8013
Chronos-Bolt-Small,S004,P0016,14,0.7858
Chronos-Bolt-Small,S004,P0017,14,0.7659
Chronos-Bolt-Small,S004,P0018,14,0.6689
Chronos-Bolt-Small,S004,P0019,14,0.6393
Chronos-Bolt-Small,S004,P0020,14,0.8418
Chronos-Bolt-Small,S005,P0001,14,0.6458
Chronos-Bolt-Small,S005,P0002,14,0.7199
Chronos-Bolt-Small,S005,P0003,14,0.774
Chronos-Bolt-Small,S005,P0004,14,0.4361
Chronos-Bolt-Small,S005,P0005,14,0.6179
Chronos-Bolt-Small,S005,P0006,14,0.6155
Chronos-Bolt-Small,S005,P0007,14,0.7629
Chronos-Bolt-Small,S005,P0008,14,0.6331
Chronos-Bolt-Small,S005,P0009,14,0.7635
Chronos-Bolt-Small,S005,P0010,14,0.5335
Chronos-Bolt-Small,S005,P0011,14,0.8315
Chronos-Bolt-Small,S005,P0012,14,0.8074
Chronos-Bolt-Small,S005,P0013,14,0.6016
Chronos-Bolt-Small,S005,P0014,14,0.8144
Chronos-Bolt-Small,S005,P0015,14,0.4804
Chronos-Bolt-Small,S005,P0016,14,0.8361
Chronos-Bolt-Small,S005,P0017,14,0.5266
Chronos-Bolt-Small,S005,P0018,14,0.7568
Chronos-Bolt-Small,S005,P0019,14,0.6048
Chronos-Bolt-Small,S005,P0020,14,0.8122
Chronos-Bolt-Small,S001,P0001,28,0.7969
Chronos-Bolt-Small,S001,P0002,28,0.6494
Chronos-Bolt-Small,S001,P0003,28,0.5109
Chronos-Bolt-Small,S001,P0004,28,0.6765
Chronos-Bolt-Small,S001,P0005,28,0.7446
Chronos-Bolt-Small,S001,P0006,28,0.5884
Chronos-Bolt-Small,S001,P0007,28,0.7366
Chronos-Bolt-Small,S001,P0008,28,0.7424
Chronos-Bolt-Small,S001,P0009,28,0.8136
Chronos-Bolt-Small,S001,P0010,28,0.8742
Chronos-Bolt-Small,S001,P0011,28,0.6191
Chronos-Bolt-Small,S001,P0012,28,0.6306
Chronos-Bolt-Small,S001,P0013,28,0.6286
Chronos-Bolt-Small,S001,P0014,28,0.6005
Chronos-Bolt-Small,S001,P0015,28,1.0487
Chronos-Bolt-Small,S001,P0016,28,0.5971
Chronos-Bolt-Small,S001,P0017,28,0.6723
Chronos-Bolt-Small,S001,P0018,28,0.7348
Chronos-Bolt-Small,S001,P0019,28,0.8755
Chronos-Bolt-Small,S001,P0020,28,0.6397
Chronos-Bolt-Small,S002,P0001,28,0.7976
Chronos-Bolt-Small,S002,P0002,28,0.6567
Chronos-Bolt-Small,S002,P0003,28,0.6491
Chronos-Bolt-Small,S002,P0004,28,0.6162
Chronos-Bolt-Small,S002,P0005,28,0.8399
Chronos-Bolt-Small,S002,P0006,28,0.8661
Chronos-Bolt-Small,S002,P0007,28,1.0441
Chronos-Bolt-Small,S002,P0008,28,0.7004
Chronos-Bolt-Small,S002,P0009,28,0.7419
Chronos-Bolt-Small,S002,P0010,28,0.7913
Chronos-Bolt-Small,S002,P0011,28,0.6941
