model,store,product,horizon,smape,mase,rmse,rmsle
Prophet,S005,P0003,7,49.4431,0.9149,39.9024,0.9481
Prophet,S005,P0004,7,41.0639,0.785,50.2877,0.5698
Prophet,S005,P0005,7,41.3053,0.9527,46.6713,0.8343
Prophet,S005,P0006,7,42.5507,1.0329,55.7123,0.7588
Prophet,S005,P0007,7,41.3047,0.9771,54.2564,0.5841
Prophet,S005,P0008,7,35.3794,0.8839,40.4601,0.4607
Prophet,S005,P0009,7,44.4206,1.2453,54.1589,0.8893
Prophet,S005,P0010,7,43.8902,0.7919,56.4431,0.6082
Prophet,S005,P0011,7,54.9357,0.8545,52.914,0.8948
Prophet,S005,P0012,7,49.9997,0.9292,43.696,0.7305
Prophet,S005,P0013,7,48.062,0.977,58.373,0.8238
Prophet,S005,P0014,7,47.5132,1.0314,36.4634,0.8703
Prophet,S005,P0015,7,42.5253,1.0367,47.6943,0.7184
Prophet,S005,P0016,7,70.2211,1.0983,60.7288,1.3824
Prophet,S005,P0017,7,62.9894,0.9626,49.5836,1.3388
Prophet,S005,P0018,7,36.7076,0.8239,42.889,0.4651
Prophet,S005,P0019,7,56.1873,1.1164,39.0722,0.9584
Prophet,S005,P0020,7,50.7989,0.9432,41.218,0.743
Prophet,S001,P0001,14,46.1837,0.8578,50.1557,0.6521
Prophet,S001,P0002,14,34.5983,0.7481,39.8745,0.4753
Prophet,S001,P0003,14,34.1973,0.5888,46.1468,0.5485
Prophet,S001,P0004,14,69.5207,1.2155,57.7951,1.5481
Prophet,S001,P0005,14,40.1974,1.1,50.0419,0.5216
Prophet,S001,P0006,14,78.28,1.4364,58.1824,1.7571
Prophet,S001,P0007,14,52.4248,0.8482,66.3409,0.738
Prophet,S001,P0008,14,60.0247,1.0643,48.7082,0.944
Prophet,S001,P0009,14,38.6944,1.2038,54.7232,0.5059
Prophet,S001,P0010,14,55.2148,0.8648,39.7413,0.9599
Prophet,S001,P0011,14,48.7669,1.2164,40.4752,0.9109
Prophet,S001,P0012,14,45.1643,0.6919,53.0677,0.6561
Prophet,S001,P0013,14,71.5143,1.0809,50.9274,1.6255
Prophet,S001,P0014,14,49.4553,1.0197,56.5046,0.715
Prophet,S001,P0015,14,72.5868,1.1967,54.0303,1.3498
Prophet,S001,P0016,14,46.7545,1.1644,52.3375,0.7549
Prophet,S001,P0017,14,76.4704,1.1168,56.4396,1.9664
Prophet,S001,P0018,14,40.3429,1.0294,46.4141,0.5448
Prophet,S001,P0019,14,63.4858,1.0187,39.6195,1.3121
Prophet,S001,P0020,14,67.8817,0.8592,42.0948,1.52
Prophet,S002,P0001,14,64.0635,1.0059,70.9045,1.182
Prophet,S002,P0002,14,80.8117,1.4643,62.7997,1.6473
Prophet,S002,P0003,14,52.0035,0.8973,51.3781,0.7759
Prophet,S002,P0004,14,49.1209,1.1577,58.6037,0.6965
Prophet,S002,P0005,14,50.7417,0.9265,53.0848,0.6832
Prophet,S002,P0006,14,33.6083,0.7483,38.2437,0.4749
Prophet,S002,P0007,14,76.491,1.2007,62.3035,1.38
Prophet,S002,P0008,14,34.7245,0.6164,38.4157,0.4557
Prophet,S002,P0009,14,41.7584,0.8707,51.4267,0.5646
Prophet,S002,P0010,14,37.5349,1.1555,45.3611,0.4581
Prophet,S002,P0011,14,54.8362,0.7474,59.7149,0.9801
Prophet,S002,P0012,14,63.4716,1.158,50.4223,1.3001
Prophet,S002,P0013,14,49.3849,1.1717,55.5203,0.6744
Prophet,S002,P0014,14,87.8645,1.4265,73.1789,1.3431
Prophet,S002,P0015,14,41.9931,0.8074,51.7701,0.8562
Prophet,S002,P0016,14,40.5665,0.7697,47.5431,0.7102
Prophet,S002,P0017,14,84.2161,1.239,68.6007,1.8139
Prophet,S002,P0018,14,32.6792,0.8187,32.813,0.4458
Prophet,S002,P0019,14,44.5343,0.7392,49.4021,0.7611
Prophet,S002,P0020,14,65.2229,0.9307,50.8199,0.9742
Prophet,S003,P0001,14,75.5898,0.8592,63.5583,1.5983
Prophet,S003,P0002,14,57.1725,1.0026,58.4877,0.8946
Prophet,S003,P0003,14,49.0767,1.1106,47.659,0.6665
Prophet,S003,P0004,14,58.8784,1.1061,67.5573,0.882
Prophet,S003,P0005,14,83.3144,1.428,64.1848,1.8257
Prophet,S003,P0006,14,65.5422,1.131,49.1819,1.6557
Prophet,S003,P0007,14,50.0414,1.0732,63.6615,0.6689
Prophet,S003,P0008,14,37.4644,0.7565,45.9472,0.4595
Prophet,S003,P0009,14,63.3262,1.5349,57.1531,1.5101
Prophet,S003,P0010,14,33.5566,0.6482,36.388,0.4962
Prophet,S003,P0011,14,60.6733,1.0421,56.335,1.2669
Prophet,S003,P0012,14,57.2662,1.268,40.8973,1.115
Prophet,S003,P0013,14,42.9814,0.9681,48.5008,0.8777
Prophet,S003,P0014,14,54.0499,1.265,68.984,0.7427
Prophet,S003,P0015,14,52.5786,0.8243,57.0479,0.8922
Prophet,S003,P0016,14,61.9722,1.0924,61.7214,1.2695
Prophet,S003,P0017,14,79.3346,1.3437,53.3479,1.7252
Prophet,S003,P0018,14,54.7232,1.3447,40.4608,0.8886
Prophet,S003,P0019,14,33.2357,0.9397,36.8135,0.4393
Prophet,S003,P0020,14,42.0826,0.629,55.2379,0.5462
Prophet,S004,P0001,14,49.8237,0.8505,61.0341,0.8742
Prophet,S004,P0002,14,53.58,0.7372,55.2133,0.9059
Prophet,S004,P0003,14,65.7524,1.3499,46.3737,1.3269
Prophet,S004,P0004,14,49.5273,1.2207,62.0686,0.8813
Prophet,S004,P0005,14,35.1665,1.4276,38.6446,0.4743
Prophet,S004,P0006,14,39.9972,1.3093,50.283,0.5333
Prophet,S004,P0007,14,55.0863,1.0979,66.1442,0.7869
Prophet,S004,P0008,14,67.8846,1.1595,44.5468,1.388
Prophet,S004,P0009,14,42.941,0.7744,55.9689,0.9124
Prophet,S004,P0010,14,46.0004,0.7571,55.8538,0.6939
Prophet,S004,P0011,14,39.1993,1.1149,57.7305,0.5801
Prophet,S004,P0012,14,40.7804,0.9039,42.4399,0.553
Prophet,S004,P0013,14,67.6531,1.2261,75.8332,1.0598
Prophet,S004,P0014,14,69.2999,1.0041,50.7007,1.1057
Prophet,S004,P0015,14,53.8223,0.9235,38.7112,0.7307
Prophet,S004,P0016,14,69.6276,1.1564,51.1309,1.1309
Prophet,S004,P0017,14,37.0769,1.1397,42.2636,0.4941
Prophet,S004,P0018,14,59.2935,1.1415,36.3163,1.0685
Prophet,S004,P0019,14,29.2335,0.9802,37.7479,0.4614
Prophet,S004,P0020,14,78.9563,1.6057,50.6602,1.2775
Prophet,S005,P0001,14,49.1822,1.0253,52.5612,0.8261
Prophet,S005,P0002,14,63.6459,0.9648,56.702,0.9918
Prophet,S005,P0003,14,69.2115,0.9389,49.0494,1.5404
Prophet,S005,P0004,14,49.4776,0.8473,57.7849,0.6743
Prophet,S005,P0005,14,44.6138,1.0084,49.149,0.8541
Prophet,S005,P0006,14,45.6269,0.6343,58.9443,0.8034
Prophet,S005,P0007,14,46.3876,1.1983,59.0025,0.6183
Prophet,S005,P0008,14,43.9958,1.2194,47.0996,0.5456
Prophet,S005,P0009,14,49.0928,0.9118,58.7285,0.9198
Prophet,S005,P0010,14,47.8917,0.78,63.4308,0.6569
Prophet,S005,P0011,14,61.1432,1.5297,58.7243,1.1899
Prophet,S005,P0012,14,55.8351,1.0582,45.8447,0.9004
Prophet,S005,P0013,14,58.7373,0.899,65.9298,0.824
Prophet,S005,P0014,14,62.2299,1.0234,42.0542,1.2078
Prophet,S005,P0015,14,41.646,0.9759,46.7324,0.7189
Prophet,S005,P0016,14,91.3658,1.1501,71.6076,1.9431
Prophet,S005,P0017,14,78.7479,1.1204,57.4822,1.9092
Prophet,S005,P0018,14,32.1331,0.6535,39.5319,0.4209
Prophet,S005,P0019,14,68.0986,1.1685,45.4223,1.6155
Prophet,S005,P0020,14,69.4012,1.289,51.8732,1.2558
Prophet,S001,P0001,28,37.6499,0.5701,42.6606,0.5153
Prophet,S001,P0002,28,36.999,0.773,44.9046,0.5107
Prophet,S001,P0003,28,34.8855,0.6144,47.2753,0.5569
Prophet,S001,P0004,28,49.6685,0.9981,45.8834,0.8216
Prophet,S001,P0005,28,41.7822,0.9973,50.6627,0.5156
Prophet,S001,P0006,28,53.5123,0.7719,49.3755,0.9477
Prophet,S001,P0007,28,56.0801,0.8831,70.8961,0.8299
Prophet,S001,P0008,28,46.7552,1.0238,42.6598,0.5928
Prophet,S001,P0009,28,36.0814,0.8643,52.2565,0.4864
Prophet,S001,P0010,28,44.5622,0.7284,34.7445,0.556
Prophet,S001,P0011,28,40.6636,0.9129,35.286,0.5794
Prophet,S001,P0012,28,46.8368,0.8122,55.8058,0.6659
Prophet,S001,P0013,28,51.4788,1.333,41.7327,0.7039
Prophet,S001,P0014,28,39.943,0.7438,47.7676,0.6147
Prophet,S001,P0015,28,62.0838,1.365,50.8241,0.8946
Prophet,S001,P0016,28,50.2407,0.7913,54.9464,0.7842
Prophet,S001,P0017,28,50.9755,1.0181,46.9416,0.855
Prophet,S001,P0018,28,41.2211,0.7205,45.5881,0.512
Prophet,S001,P0019,28,44.062,0.7342,32.2029,0.6089
Prophet,S001,P0020,28,47.0594,0.6547,35.4382,0.6608
Prophet,S002,P0001,28,91.0406,1.3169,84.5234,2.1521
Prophet,S002,P0002,28,59.9021,1.1123,57.7617,0.8111
Prophet,S002,P0003,28,65.4567,1.0296,60.5823,1.1778
Prophet,S002,P0004,28,40.9218,0.8061,47.9624,0.5222
Prophet,S002,P0005,28,47.2254,0.7779,50.2005,0.6368
Prophet,S002,P0006,28,37.988,0.6878,42.0214,0.5028
Prophet,S002,P0007,28,58.8079,1.0621,54.3723,0.8464
Prophet,S002,P0008,28,35.3541,0.6318,39.0735,0.4627
Prophet,S002,P0009,28,38.2342,0.6962,48.1358,0.5191
Prophet,S002,P0010,28,33.7299,0.6116,41.1926,0.4215
Prophet,S002,P0011,28,57.8741,0.6803,61.8996,0.977
Prophet,S002,P0012,28,50.8805,1.4196,54.7599,0.6529
Prophet,S002,P0013,28,44.316,0.9403,48.5418,0.6584
Prophet,S002,P0014,28,108.2891,1.5211,79.2011,2.0962
Prophet,S002,P0015,28,44.8402,0.7811,52.0388,0.8365
Prophet,S002,P0016,28,40.1024,0.6666,49.254,0.7167
Prophet,S002,P0017,28,71.2499,1.8122,62.3171,1.1014
Prophet,S002,P0018,28,41.0923,0.8615,38.8165,0.5336
Prophet,S002,P0019,28,40.6281,0.7715,43.8836,0.6985
Prophet,S002,P0020,28,65.7475,1.4328,60.2174,0.8259
Prophet,S003,P0001,28,58.0011,0.7693,57.483,1.0591
Prophet,S003,P0002,28,52.6482,1.0157,61.3013,0.8085
Prophet,S003,P0003,28,42.146,1.3225,41.768,0.5685
Prophet,S003,P0004,28,50.1434,0.8825,67.4569,0.8737
Prophet,S003,P0005,28,65.4262,1.1947,53.3997,0.9193
Prophet,S003,P0006,28,44.5151,0.9784,37.574,0.6464
Prophet,S003,P0007,28,41.4787,0.9651,52.8912,0.5806
Prophet,S003,P0008,28,43.9975,1.2791,55.6772,0.5346
Prophet,S003,P0009,28,36.1136,0.7719,42.5477,0.4969
Prophet,S003,P0010,28,32.1931,0.6413,37.2923,0.5077
Prophet,S003,P0011,28,55.0597,0.8075,55.6302,1.0767
Prophet,S003,P0012,28,50.8359,1.3407,44.7405,0.7393
Prophet,S003,P0013,28,43.4212,1.1906,48.875,0.9101
Prophet,S003,P0014,28,48.9612,1.1595,60.6158,0.6318
Prophet,S003,P0015,28,64.2216,0.9082,71.5517,1.0699
Prophet,S003,P0016,28,42.3628,0.8259,49.4408,0.5526
Prophet,S003,P0017,28,53.7361,1.0567,42.2596,0.8776
Prophet,S003,P0018,28,53.7223,1.5995,44.5909,0.7145
Prophet,S003,P0019,28,34.4229,0.8446,37.889,0.4619
Prophet,S003,P0020,28,63.3045,1.1809,77.0565,0.906
Prophet,S004,P0001,28,51.5591,0.9119,69.6488,0.952
Prophet,S004,P0002,28,58.4674,0.9388,67.4722,0.9547
Prophet,S004,P0003,28,47.5977,0.8887,44.8187,0.6618
Prophet,S004,P0004,28,48.4867,0.7311,60.2495,0.8613
Prophet,S004,P0005,28,40.999,1.3598,43.9787,0.5531
Prophet,S004,P0006,28,46.27,1.2392,48.1075,0.6465
