model,store,product,horizon,smape,mase
ARIMA_FAST,S005,P0017,7,44.8628,0.8431
ARIMA_FAST,S005,P0018,7,29.798,0.6753
ARIMA_FAST,S005,P0019,7,44.3057,0.8638
ARIMA_FAST,S005,P0020,7,36.5911,0.6709
ARIMA_FAST,S001,P0001,14,36.5518,0.8682
ARIMA_FAST,S001,P0002,14,29.3057,0.6687
ARIMA_FAST,S001,P0003,14,33.9871,0.6899
ARIMA_FAST,S001,P0004,14,41.5648,0.8303
ARIMA_FAST,S001,P0005,14,34.8534,0.6739
ARIMA_FAST,S001,P0006,14,45.3971,0.6983
ARIMA_FAST,S001,P0007,14,41.4527,0.7681
ARIMA_FAST,S001,P0008,14,33.123,0.7344
ARIMA_FAST,S001,P0009,14,33.2527,0.8879
ARIMA_FAST,S001,P0010,14,35.087,0.7568
ARIMA_FAST,S001,P0011,14,37.7609,0.7469
ARIMA_FAST,S001,P0012,14,36.511,0.7027
ARIMA_FAST,S001,P0013,14,43.7299,0.7937
ARIMA_FAST,S001,P0014,14,36.9434,0.6841
ARIMA_FAST,S001,P0015,14,40.6621,0.7536
ARIMA_FAST,S001,P0016,14,37.251,0.6032
ARIMA_FAST,S001,P0017,14,42.8875,0.7864
ARIMA_FAST,S001,P0018,14,32.739,0.7255
ARIMA_FAST,S001,P0019,14,41.0987,0.844
ARIMA_FAST,S001,P0020,14,42.1262,0.7253
ARIMA_FAST,S002,P0001,14,41.8045,0.7706
ARIMA_FAST,S002,P0002,14,44.8688,0.78
ARIMA_FAST,S002,P0003,14,38.9058,0.6698
ARIMA_FAST,S002,P0004,14,33.0035,0.6455
ARIMA_FAST,S002,P0005,14,37.9102,0.7742
ARIMA_FAST,S002,P0006,14,29.344,0.7483
ARIMA_FAST,S002,P0007,14,46.6521,0.827
ARIMA_FAST,S002,P0008,14,30.7398,0.663
ARIMA_FAST,S002,P0009,14,34.7785,0.6931
ARIMA_FAST,S002,P0010,14,28.0403,0.6936
ARIMA_FAST,S002,P0011,14,42.6893,0.7259
ARIMA_FAST,S002,P0012,14,35.2448,0.7012
ARIMA_FAST,S002,P0013,14,38.7579,0.6322
ARIMA_FAST,S002,P0014,14,44.0691,0.838
ARIMA_FAST,S002,P0015,14,35.8746,0.7409
ARIMA_FAST,S002,P0016,14,36.4979,0.7967
ARIMA_FAST,S002,P0017,14,49.1222,0.7586
ARIMA_FAST,S002,P0018,14,30.2848,0.7645
ARIMA_FAST,S002,P0019,14,33.7506,0.6741
ARIMA_FAST,S002,P0020,14,39.8769,0.7732
ARIMA_FAST,S003,P0001,14,49.7085,0.8688
ARIMA_FAST,S003,P0002,14,41.705,0.741
ARIMA_FAST,S003,P0003,14,33.9502,0.7792
ARIMA_FAST,S003,P0004,14,41.4685,0.8312
ARIMA_FAST,S003,P0005,14,47.1464,0.7834
ARIMA_FAST,S003,P0006,14,41.2476,0.8248
ARIMA_FAST,S003,P0007,14,33.4397,0.6357
ARIMA_FAST,S003,P0008,14,30.4115,0.7164
ARIMA_FAST,S003,P0009,14,34.7781,0.8305
ARIMA_FAST,S003,P0010,14,31.1333,0.6786
ARIMA_FAST,S003,P0011,14,43.8326,0.8192
ARIMA_FAST,S003,P0012,14,40.1884,0.8058
ARIMA_FAST,S003,P0013,14,38.0642,0.6473
ARIMA_FAST,S003,P0014,14,35.7399,0.7964
ARIMA_FAST,S003,P0015,14,39.3423,0.6431
ARIMA_FAST,S003,P0016,14,35.2138,0.6906
ARIMA_FAST,S003,P0017,14,42.884,0.8313
ARIMA_FAST,S003,P0018,14,39.6955,0.797
ARIMA_FAST,S003,P0019,14,25.7058,0.5843
ARIMA_FAST,S003,P0020,14,32.8737,0.7904
ARIMA_FAST,S004,P0001,14,38.3675,0.7152
ARIMA_FAST,S004,P0002,14,41.981,0.6763
ARIMA_FAST,S004,P0003,14,43.0743,0.8964
ARIMA_FAST,S004,P0004,14,38.7544,0.7275
ARIMA_FAST,S004,P0005,14,31.8952,0.7831
ARIMA_FAST,S004,P0006,14,34.3271,0.596
ARIMA_FAST,S004,P0007,14,40.2468,0.7904
ARIMA_FAST,S004,P0008,14,39.2345,0.8511
ARIMA_FAST,S004,P0009,14,35.5843,0.7089
ARIMA_FAST,S004,P0010,14,41.5376,0.7648
ARIMA_FAST,S004,P0011,14,36.1538,0.8152
ARIMA_FAST,S004,P0012,14,34.6069,0.9075
ARIMA_FAST,S004,P0013,14,38.8084,0.6954
ARIMA_FAST,S004,P0014,14,39.8021,0.7226
ARIMA_FAST,S004,P0015,14,40.614,0.7188
ARIMA_FAST,S004,P0016,14,43.0929,0.8031
ARIMA_FAST,S004,P0017,14,29.039,0.7087
ARIMA_FAST,S004,P0018,14,34.9801,0.6836
ARIMA_FAST,S004,P0019,14,30.0238,0.7609
ARIMA_FAST,S004,P0020,14,40.9397,0.7503
ARIMA_FAST,S005,P0001,14,37.4709,0.6566
ARIMA_FAST,S005,P0002,14,38.3549,0.8153
ARIMA_FAST,S005,P0003,14,43.1394,0.8066
ARIMA_FAST,S005,P0004,14,33.3485,0.7637
ARIMA_FAST,S005,P0005,14,36.9317,0.7097
ARIMA_FAST,S005,P0006,14,36.5978,0.7232
ARIMA_FAST,S005,P0007,14,36.3373,0.7068
ARIMA_FAST,S005,P0008,14,30.2058,0.6464
ARIMA_FAST,S005,P0009,14,37.7544,0.7371
ARIMA_FAST,S005,P0010,14,36.7953,0.6884
ARIMA_FAST,S005,P0011,14,43.1613,0.8865
ARIMA_FAST,S005,P0012,14,40.8518,0.9052
ARIMA_FAST,S005,P0013,14,38.1335,0.6931
ARIMA_FAST,S005,P0014,14,38.1454,0.7471
ARIMA_FAST,S005,P0015,14,36.402,0.6472
ARIMA_FAST,S005,P0016,14,50.3296,0.8186
ARIMA_FAST,S005,P0017,14,45.8991,0.8458
ARIMA_FAST,S005,P0018,14,29.4621,0.6594
ARIMA_FAST,S005,P0019,14,44.2944,0.8613
ARIMA_FAST,S005,P0020,14,36.5531,0.6679
ARIMA_FAST,S001,P0001,28,36.2477,0.8602
ARIMA_FAST,S001,P0002,28,29.3951,0.671
ARIMA_FAST,S001,P0003,28,33.9871,0.6899
ARIMA_FAST,S001,P0004,28,41.5087,0.8297
ARIMA_FAST,S001,P0005,28,34.7992,0.6734
ARIMA_FAST,S001,P0006,28,45.5755,0.7029
ARIMA_FAST,S001,P0007,28,41.4527,0.7681
ARIMA_FAST,S001,P0008,28,32.7882,0.7269
ARIMA_FAST,S001,P0009,28,33.2353,0.8875
ARIMA_FAST,S001,P0010,28,35.277,0.7607
ARIMA_FAST,S001,P0011,28,37.7411,0.7457
ARIMA_FAST,S001,P0012,28,36.4659,0.7018
ARIMA_FAST,S001,P0013,28,42.9053,0.7775
ARIMA_FAST,S001,P0014,28,36.7959,0.6813
ARIMA_FAST,S001,P0015,28,38.6479,0.7154
ARIMA_FAST,S001,P0016,28,37.2143,0.6034
ARIMA_FAST,S001,P0017,28,42.9877,0.7886
ARIMA_FAST,S001,P0018,28,32.7229,0.7257
ARIMA_FAST,S001,P0019,28,41.1593,0.8455
ARIMA_FAST,S001,P0020,28,41.946,0.722
ARIMA_FAST,S002,P0001,28,41.5816,0.7636
ARIMA_FAST,S002,P0002,28,44.6643,0.7745
ARIMA_FAST,S002,P0003,28,39.1249,0.6758
ARIMA_FAST,S002,P0004,28,32.546,0.6365
ARIMA_FAST,S002,P0005,28,37.5662,0.7658
ARIMA_FAST,S002,P0006,28,29.3414,0.7481
ARIMA_FAST,S002,P0007,28,46.7399,0.829
ARIMA_FAST,S002,P0008,28,30.883,0.6672
ARIMA_FAST,S002,P0009,28,34.7747,0.6932
ARIMA_FAST,S002,P0010,28,27.9177,0.6908
ARIMA_FAST,S002,P0011,28,41.9379,0.7153
